Brand,Usage_Type,CPU_Brand,GPU_Brand,GPU_Model,CPU_Cores,CPU_Frequency_GHz,RAM_GB,Storage_GB,CPU_Performance_Score,GPU_Performance_Score,Overall_Performance_Score,Price_USD,Price_Performance_Ratio,Screen_Size,Price_CNY
HP,Professional,Intel,AMD,RTX 3060,4,3.52,4,512,1552,2200,3752,2537.1,1.48,14.3,18394
Apple,Professional,Apple,Intel,RX 6600,6,3.5,16,512,2646,2000,4646,2924.62,1.59,15.4,21203
Acer,Professional,Apple,AMD,RTX 3060,4,1.37,16,512,1472,2200,3672,2471.65,1.49,16.1,17919
Asus,Professional,AMD,NVIDIA,Iris Xe,8,1.35,32,512,3072,900,3972,2471.85,1.61,16.1,17921
Dell,Professional,Intel,AMD,RX 6600,12,1.73,32,128,2568,2000,4568,2977.1,1.53,15.1,21584
Asus,Professional,AMD,AMD,RTX 3050,8,2.71,64,2048,2400,1500,3900,2922.35,1.33,14.4,21187
Asus,Professional,AMD,NVIDIA,RX 6700,4,2.62,16,1024,1112,2800,3912,2972.03,1.32,15.8,21547
Asus,Professional,Apple,NVIDIA,RTX 3070,6,1.52,8,1024,1770,3000,4770,3328.66,1.43,15.5,24133
MSI,Professional,Apple,AMD,RX 6600,6,2.23,32,512,2058,2000,4058,2709.28,1.5,16.3,19642
MSI,Professional,Apple,NVIDIA,RTX 3080,2,1.84,4,512,542,3800,4342,3201.03,1.36,16.0,23207
HP,Professional,Apple,NVIDIA,RTX 3070,8,2.89,8,1024,1816,3000,4816,3342.81,1.44,15.7,24235
Dell,Professional,Intel,NVIDIA,RX 6600,6,2.01,16,2048,2868,2000,4868,3228.48,1.51,15.5,23406
Apple,Professional,Intel,Intel,RTX 3070,2,1.8,4,128,1022,3000,4022,2787.25,1.44,15.0,20208
MSI,Professional,Apple,AMD,RTX 3070,8,2.42,32,1024,1632,3000,4632,3313.94,1.4,15.3,24026
MSI,Professional,Apple,AMD,RX 6600,4,3.82,4,128,2012,2000,4012,2702.12,1.48,16.1,19590
Apple,Professional,Apple,Intel,RTX 3070,6,3.44,64,128,1344,3000,4344,3287.06,1.32,16.4,23831
Dell,Professional,Intel,Intel,RX 6600,8,3.48,8,1024,1920,2000,3920,2679.18,1.46,15.4,19424
Acer,Professional,Intel,AMD,RTX 3070,4,3.49,64,1024,1344,3000,4344,3298.31,1.32,14.6,23913
MSI,Professional,Intel,Intel,RTX 3080,2,3.69,16,256,570,3800,4370,3124.55,1.4,15.1,22653
Lenovo,Professional,AMD,NVIDIA,RX 6700,4,2.09,16,2048,1011,2800,3811,2997.13,1.27,14.0,21729
Dell,Professional,AMD,AMD,RX 6600,6,3.56,8,128,2886,2000,4886,3000.06,1.63,15.0,21750
Acer,Professional,Intel,Intel,RTX 3060,6,2.94,64,256,2460,2200,4660,3209.32,1.45,15.1,23268
Dell,Professional,Apple,AMD,RTX 3050,12,3.77,4,256,3060,1500,4560,2865.3,1.59,15.2,20773
Asus,Professional,AMD,Intel,Iris Xe,6,3.64,4,2048,3072,900,3972,2464.97,1.61,14.0,17871
Asus,Professional,AMD,NVIDIA,RTX 3050,6,1.53,64,2048,2640,1500,4140,3140.13,1.32,14.6,22766
Lenovo,Professional,Apple,NVIDIA,RTX 3060,6,2.25,32,512,2790,2200,4990,3356.05,1.49,13.3,24331
HP,Professional,AMD,NVIDIA,RTX 3060,4,2.7,16,256,1332,2200,3532,2558.55,1.38,16.1,18549
Acer,Professional,AMD,Intel,RTX 3050,6,2.91,8,512,2694,1500,4194,2713.31,1.55,14.6,19671
Asus,Professional,Intel,Intel,RTX 3060,4,2.98,8,256,1388,2200,3588,2368.4,1.51,15.7,17171
HP,Professional,Apple,Intel,RX 6600,4,1.43,32,512,1780,2000,3780,2752.36,1.37,16.3,19955
Acer,Professional,Intel,Intel,RX 6600,12,1.94,16,512,2604,2000,4604,3069.01,1.5,16.3,22250
Dell,Professional,AMD,NVIDIA,RX 6600,4,1.16,4,512,1812,2000,3812,2536.96,1.5,14.6,18393
Dell,Professional,AMD,NVIDIA,RX 6700,4,1.25,8,128,1844,2800,4644,3062.65,1.52,15.8,22204
Dell,Professional,Apple,AMD,RX 6700,2,1.94,16,128,1058,2800,3858,2861.13,1.35,15.6,20743
Acer,Professional,AMD,Intel,RTX 3060,8,2.74,32,512,2584,2200,4784,3288.24,1.45,16.9,23840
HP,Professional,AMD,NVIDIA,RTX 3070,4,3.43,8,2048,919,3000,3919,2950.62,1.33,16.3,21392
MSI,Professional,Intel,AMD,RX 6700,8,2.35,32,1024,1623,2800,4423,3195.06,1.38,15.0,23164
Acer,Professional,AMD,Intel,RTX 3060,4,2.93,8,512,2136,2200,4336,2849.77,1.52,15.0,20661
MSI,Professional,Intel,NVIDIA,Iris Xe,6,3.47,4,256,2754,900,3654,2202.22,1.66,16.2,15966
Dell,Professional,Intel,NVIDIA,RX 6600,8,1.27,64,2048,2056,2000,4056,3147.97,1.29,15.2,22823
MSI,Professional,AMD,Intel,RX 6600,6,1.07,4,128,2982,2000,4982,2996.66,1.66,15.9,21726
Dell,Professional,AMD,NVIDIA,RX 6700,2,3.69,64,128,924,2800,3724,3010.58,1.24,14.0,21827
Asus,Professional,Intel,Intel,RTX 3070,4,3.52,8,2048,1792,3000,4792,3442.06,1.39,16.2,24955
Apple,Professional,Apple,NVIDIA,RTX 3070,8,3.7,8,512,1864,3000,4864,3393.5,1.43,16.8,24603
Lenovo,Professional,Intel,Intel,RX 6700,8,1.9,64,128,1768,2800,4568,3271.03,1.4,14.8,23715
MSI,Professional,Intel,Intel,RTX 3050,12,2.83,8,128,2556,1500,4056,2497.81,1.62,17.2,18109
Acer,Professional,AMD,NVIDIA,RTX 3080,2,1.02,8,1024,516,3800,4316,3329.56,1.3,14.3,24139
Asus,Professional,Intel,Intel,RTX 3070,4,2.66,4,2048,860,3000,3860,2869.49,1.35,17.2,20804
Dell,Professional,Apple,NVIDIA,RX 6600,6,3.12,4,2048,1944,2000,3944,2825.98,1.4,14.8,20488
Lenovo,Professional,AMD,Intel,Iris Xe,12,3.49,4,512,2844,900,3744,2229.73,1.68,17.4,16166
HP,Professional,Apple,Intel,RX 6700,4,3.68,32,512,1707,2800,4507,3102.15,1.45,15.9,22491
Lenovo,Professional,AMD,NVIDIA,RTX 3050,6,2.92,4,256,2046,1500,3546,2233.46,1.59,16.6,16193
Acer,Professional,Intel,NVIDIA,RX 6600,6,2.14,64,256,1572,2000,3572,2582.49,1.38,15.7,18723
Dell,Professional,Intel,Intel,RX 6600,8,3.64,16,512,2584,2000,4584,3078.09,1.49,16.0,22316
HP,Professional,Intel,NVIDIA,RTX 3050,6,3.37,16,256,2022,1500,3522,2236.97,1.57,15.5,16218
Acer,Professional,AMD,AMD,RX 6700,2,3.63,8,1024,768,2800,3568,2575.83,1.39,16.2,18675
Dell,Professional,Intel,NVIDIA,RX 6600,4,3.48,64,2048,2172,2000,4172,3183.32,1.31,16.9,23079
Apple,Professional,Apple,AMD,RX 6600,8,1.54,64,128,2096,2000,4096,2901.85,1.41,15.1,21038
Dell,Professional,Intel,Intel,RX 6700,2,1.16,64,2048,788,2800,3588,3068.82,1.17,15.5,22249
Dell,Professional,Apple,Intel,RX 6600,4,2.92,16,256,1996,2000,3996,2765.64,1.44,15.4,20051
MSI,Professional,AMD,NVIDIA,RTX 3070,4,3.16,4,128,1428,3000,4428,2919.16,1.52,17.0,21164
Asus,Professional,Intel,AMD,Iris Xe,12,2.12,8,1024,3179,900,4079,2508.12,1.63,15.6,18184
HP,Professional,Intel,Intel,RX 6600,12,3.0,32,512,2520,2000,4520,3069.69,1.47,16.5,22255
Lenovo,Professional,Intel,AMD,RX 6700,4,2.56,4,1024,908,2800,3708,2623.92,1.41,16.3,19023
Asus,Professional,AMD,NVIDIA,RTX 3070,6,2.06,4,256,1944,3000,4944,3349.72,1.48,14.6,24285
HP,Professional,AMD,NVIDIA,RX 6700,6,3.06,4,512,1968,2800,4768,3093.94,1.54,15.3,22431
Asus,Professional,AMD,Intel,RX 6700,4,3.53,32,128,1532,2800,4332,3131.58,1.38,14.7,22704
Lenovo,Professional,Apple,AMD,Iris Xe,8,1.73,8,256,3488,900,4388,2666.31,1.65,17.0,19331
Acer,Professional,Intel,Intel,RTX 3070,6,2.86,32,2048,1266,3000,4266,3395.94,1.26,17.6,24621
Acer,Professional,AMD,NVIDIA,RX 6700,4,2.59,8,2048,1839,2800,4639,3379.03,1.37,12.6,24498
MSI,Professional,Intel,NVIDIA,RTX 3080,2,3.02,64,128,1022,3800,4822,3556.21,1.36,15.1,25783
Acer,Professional,Apple,NVIDIA,RTX 3060,6,1.99,16,256,1829,2200,4029,2844.98,1.42,15.7,20626
MSI,Professional,Apple,Intel,RTX 3060,4,3.35,8,1024,1432,2200,3632,2571.13,1.41,16.4,18641
Acer,Professional,Intel,Intel,RTX 3070,2,3.58,8,256,724,3000,3724,2754.89,1.35,15.5,19973
MSI,Professional,AMD,Intel,RX 6600,4,1.5,32,128,2092,2000,4092,2670.5,1.53,14.7,19361
Dell,Professional,AMD,AMD,RX 6700,4,3.27,8,1024,984,2800,3784,2850.87,1.33,15.8,20669
Acer,Professional,Intel,AMD,RTX 3050,8,1.25,32,2048,2216,1500,3716,2816.09,1.32,15.1,20417
Acer,Professional,Apple,NVIDIA,RX 6600,8,1.53,16,2048,1952,2000,3952,2890.59,1.37,14.4,20957
HP,Professional,Intel,NVIDIA,RTX 3050,6,1.77,8,1024,2574,1500,4074,2612.43,1.56,16.5,18940
Acer,Professional,Intel,Intel,RX 6700,4,3.69,32,256,1728,2800,4528,3164.9,1.43,16.5,22946
HP,Professional,AMD,AMD,RTX 3070,2,1.76,16,2048,919,3000,3919,3008.03,1.3,17.8,21808
Apple,Professional,AMD,Intel,RTX 3060,8,1.49,8,256,1776,2200,3976,2678.63,1.48,16.2,19420
Asus,Professional,AMD,NVIDIA,RTX 3060,4,3.71,16,128,1520,2200,3720,2667.62,1.39,14.7,19340
Asus,Professional,Apple,NVIDIA,RTX 3070,4,1.65,4,128,1032,3000,4032,2864.3,1.41,14.0,20766
Asus,Professional,AMD,AMD,RX 6700,6,2.79,16,2048,1380,2800,4180,3174.87,1.32,15.0,23018
HP,Professional,Apple,Intel,RTX 3050,8,1.36,4,512,2944,1500,4444,2864.68,1.55,15.3,20769
Apple,Professional,Apple,AMD,RTX 3050,8,1.41,64,2048,2744,1500,4244,3186.96,1.33,17.2,23105
Acer,Professional,Intel,NVIDIA,RTX 3080,2,1.07,16,2048,552,3800,4352,3389.09,1.28,15.7,24571
Dell,Professional,Intel,NVIDIA,RTX 3060,6,3.96,32,2048,1380,2200,3580,2690.75,1.33,16.1,19508
Asus,Professional,Intel,AMD,RX 6700,6,3.66,4,2048,2028,2800,4828,3438.61,1.4,15.9,24930
HP,Professional,Intel,Intel,RX 6600,4,1.41,64,1024,1839,2000,3839,2800.06,1.37,15.4,20300
Dell,Professional,Intel,AMD,RTX 3080,2,2.56,16,1024,1040,3800,4840,3517.63,1.38,15.3,25503
MSI,Professional,AMD,Intel,RTX 3050,6,1.96,64,256,2868,1500,4368,3009.09,1.45,16.0,21816
Dell,Professional,AMD,Intel,RX 6700,4,3.69,16,256,1960,2800,4760,3325.3,1.43,16.2,24108
Apple,Professional,Intel,Intel,Iris Xe,8,2.99,32,1024,2952,900,3852,2456.3,1.57,15.2,17808
Dell,Professional,Apple,Intel,RX 6600,8,1.53,16,256,1736,2000,3736,2429.05,1.54,15.6,17611
Lenovo,Professional,AMD,NVIDIA,RTX 3050,8,1.13,16,512,2016,1500,3516,2433.22,1.44,14.5,17641
Lenovo,Professional,Intel,Intel,RTX 3080,2,3.92,16,512,969,3800,4769,3525.65,1.35,14.7,25561
Apple,Professional,Intel,AMD,Iris Xe,16,2.97,4,128,3808,900,4708,2644.99,1.78,15.1,19176
Lenovo,Professional,Intel,AMD,Iris Xe,16,3.73,32,128,3711,900,4611,2782.66,1.66,15.9,20174
MSI,Professional,Apple,NVIDIA,RX 6700,4,3.6,8,256,2128,2800,4928,3274.0,1.51,14.7,23736
Asus,Professional,AMD,Intel,RTX 3060,4,2.1,8,512,1600,2200,3800,2546.76,1.49,17.7,18464
Dell,Professional,AMD,Intel,RTX 3080,2,2.81,64,2048,1092,3800,4892,3908.84,1.25,15.8,28339
Acer,Professional,Intel,NVIDIA,RX 6700,4,1.39,64,256,1376,2800,4176,3164.92,1.32,17.3,22946
Dell,Professional,Apple,Intel,RX 6600,12,1.56,8,512,2664,2000,4664,3087.49,1.51,15.9,22384
Asus,Professional,Intel,NVIDIA,RTX 3060,12,2.6,4,1024,2796,2200,4996,3331.25,1.5,16.0,24152
HP,Professional,Intel,AMD,RTX 3050,6,3.86,4,256,2676,1500,4176,2617.79,1.6,14.4,18979
Acer,Professional,Intel,NVIDIA,RX 6600,6,3.25,32,2048,2129,2000,4129,2999.84,1.38,15.5,21749
Asus,Professional,Intel,AMD,RTX 3050,8,2.02,4,1024,2112,1500,3612,2285.61,1.58,14.5,16571
Apple,Professional,Apple,AMD,RX 6600,4,1.08,32,256,1508,2000,3508,2482.61,1.41,16.0,17999
Dell,Professional,Intel,NVIDIA,RTX 3080,4,1.03,32,512,876,3800,4676,3445.45,1.36,15.1,24980
Asus,Professional,Apple,NVIDIA,RTX 3080,2,2.4,64,128,482,3800,4282,3400.68,1.26,14.6,24655
HP,Professional,AMD,NVIDIA,RTX 3070,6,3.33,16,128,1380,3000,4380,3128.96,1.4,16.1,22685
Asus,Professional,AMD,AMD,Iris Xe,8,3.73,32,256,3928,900,4828,2945.55,1.64,16.0,21355
HP,Professional,Intel,AMD,Iris Xe,8,3.87,8,512,2616,900,3516,2186.95,1.61,15.6,15855
Lenovo,Professional,Apple,Intel,RTX 3060,4,2.25,64,128,1312,2200,3512,2622.71,1.34,17.2,19015
Apple,Professional,Intel,AMD,RTX 3060,6,1.16,64,128,2010,2200,4210,3058.86,1.38,14.6,22177
Acer,Professional,AMD,NVIDIA,RTX 3080,2,1.86,8,128,760,3800,4560,3226.96,1.41,15.7,23395
Acer,Professional,AMD,AMD,RTX 3070,4,2.09,64,512,1460,3000,4460,3407.13,1.31,17.8,24702
Lenovo,Professional,Intel,NVIDIA,RTX 3060,6,3.62,64,128,2106,2200,4306,3014.09,1.43,15.6,21852
Acer,Professional,AMD,Intel,RTX 3080,2,1.7,32,2048,1092,3800,4892,3783.14,1.29,17.5,27428
HP,Professional,AMD,NVIDIA,RTX 3060,4,2.39,8,1024,1988,2200,4188,2873.53,1.46,16.0,20833
Acer,Professional,Intel,NVIDIA,RTX 3070,4,3.85,16,256,1008,3000,4008,2879.06,1.39,15.8,20873
Acer,Professional,AMD,AMD,RX 6600,12,3.0,16,128,2796,2000,4796,3174.43,1.51,15.4,23015
Asus,Professional,Intel,NVIDIA,RTX 3070,2,1.18,16,2048,1016,3000,4016,3137.15,1.28,15.9,22744
Apple,Professional,Intel,NVIDIA,RTX 3060,6,3.54,32,512,2778,2200,4978,3298.9,1.51,17.0,23917
Dell,Professional,Intel,AMD,RX 6700,4,1.67,32,128,1040,2800,3840,2850.17,1.35,14.4,20664
Asus,Professional,Apple,AMD,RTX 3060,8,3.1,32,128,1984,2200,4184,2829.22,1.48,17.1,20512
Lenovo,Professional,Apple,NVIDIA,Iris Xe,8,1.32,8,128,3384,900,4284,2615.06,1.64,16.3,18959
Asus,Professional,Intel,Intel,RTX 3070,4,1.23,32,1024,1008,3000,4008,3012.38,1.33,15.4,21840
Apple,Professional,AMD,AMD,RX 6600,8,2.98,16,1024,2400,2000,4400,2843.19,1.55,16.6,20613
HP,Professional,Apple,AMD,RTX 3050,6,3.45,32,128,2592,1500,4092,2607.15,1.57,16.5,18902
MSI,Professional,Apple,AMD,RTX 3070,4,1.83,16,1024,1244,3000,4244,3109.2,1.36,17.1,22542
Lenovo,Professional,AMD,Intel,RTX 3060,6,2.22,16,512,1578,2200,3778,2568.05,1.47,14.3,18618
Acer,Professional,Intel,NVIDIA,RX 6600,4,2.9,64,512,1704,2000,3704,2797.33,1.32,16.2,20281
Lenovo,Professional,AMD,Intel,RTX 3070,4,1.53,64,512,1580,3000,4580,3374.14,1.36,17.7,24463
Acer,Professional,Intel,AMD,RX 6600,8,3.75,4,256,2856,2000,4856,3035.86,1.6,15.3,22010
Acer,Professional,Intel,NVIDIA,RX 6700,4,1.54,4,256,1664,2800,4464,3005.07,1.49,14.6,21787
Apple,Professional,AMD,AMD,RX 6600,4,2.43,16,128,1588,2000,3588,2475.95,1.45,14.7,17951
Acer,Professional,AMD,NVIDIA,RX 6700,6,1.02,64,2048,1625,2800,4425,3540.86,1.25,16.6,25671
Dell,Professional,Intel,AMD,RX 6600,8,1.76,16,256,1760,2000,3760,2539.87,1.48,15.2,18414
Asus,Professional,Intel,AMD,RTX 3070,2,2.24,8,2048,794,3000,3794,3028.72,1.25,14.4,21958
Asus,Professional,AMD,Intel,Iris Xe,16,2.19,32,512,3311,900,4211,2620.32,1.61,16.0,18997
HP,Professional,AMD,AMD,RX 6700,2,1.9,64,1024,958,2800,3758,3070.95,1.22,14.5,22264
Lenovo,Professional,Apple,NVIDIA,RX 6600,12,1.32,4,2048,2772,2000,4772,3214.88,1.48,16.3,23308
Dell,Professional,Intel,AMD,RTX 3060,4,1.25,4,2048,1764,2200,3964,2918.54,1.36,16.5,21159
MSI,Professional,Intel,NVIDIA,RX 6600,6,3.44,8,512,3000,2000,5000,3165.82,1.58,16.4,22952
Apple,Professional,Intel,Intel,RX 6700,8,2.94,32,256,2136,2800,4936,3325.54,1.48,17.2,24110
Asus,Professional,Apple,NVIDIA,RTX 3070,2,3.26,4,1024,868,3000,3868,2791.06,1.39,16.0,20235
HP,Professional,Apple,NVIDIA,RX 6700,8,1.38,16,512,2064,2800,4864,3298.89,1.47,15.4,23917
MSI,Professional,Intel,NVIDIA,RTX 3050,6,1.99,8,1024,2334,1500,3834,2564.96,1.49,14.5,18596
Asus,Professional,Apple,AMD,RX 6700,2,2.65,32,2048,1088,2800,3888,3166.33,1.23,13.8,22956
Acer,Professional,Apple,Intel,Iris Xe,12,2.49,4,256,3600,900,4500,2757.38,1.63,14.7,19991
Asus,Professional,Intel,AMD,RTX 3080,2,2.9,32,128,986,3800,4786,3455.21,1.39,15.4,25050
Dell,Professional,Apple,NVIDIA,RX 6600,8,1.61,4,2048,2944,2000,4944,3185.67,1.55,17.3,23096
Acer,Professional,Apple,NVIDIA,RTX 3060,12,1.43,4,256,2783,2200,4983,3051.5,1.63,16.2,22123
HP,Professional,Apple,NVIDIA,RX 6700,6,3.76,8,256,1698,2800,4498,3134.09,1.44,16.1,22722
HP,Professional,Intel,AMD,RX 6700,4,2.85,64,512,1084,2800,3884,2942.24,1.32,17.4,21331
Apple,Professional,Apple,NVIDIA,RX 6600,8,2.97,16,256,2584,2000,4584,2998.92,1.53,13.6,21742
Dell,Professional,AMD,AMD,RX 6600,12,3.8,16,128,2483,2000,4483,2998.23,1.5,14.9,21737
MSI,Professional,AMD,NVIDIA,RTX 3050,16,2.84,8,128,3408,1500,4908,3016.24,1.63,15.1,21868
Acer,Professional,Intel,AMD,RTX 3070,2,1.64,4,2048,720,3000,3720,2847.68,1.31,16.5,20646
Lenovo,Professional,Apple,AMD,RTX 3060,8,2.43,4,1024,1816,2200,4016,2854.62,1.41,15.1,20696
Acer,Professional,AMD,Intel,RTX 3070,2,3.47,16,128,662,3000,3662,2575.42,1.42,14.7,18672
Dell,Professional,Intel,Intel,RTX 3060,4,1.19,16,512,1716,2200,3916,2791.01,1.4,18.0,20235
HP,Professional,AMD,NVIDIA,RX 6700,2,1.15,4,128,986,2800,3786,2675.63,1.41,15.4,19398
Dell,Professional,Apple,AMD,RX 6600,6,1.05,8,2048,2496,2000,4496,3085.65,1.46,15.7,22371
Apple,Professional,Intel,AMD,RTX 3070,2,3.73,32,128,1068,3000,4068,2878.79,1.41,15.0,20871
HP,Professional,Intel,AMD,RTX 3070,6,1.61,64,512,1655,3000,4655,3368.43,1.38,13.8,24421
Acer,Professional,AMD,Intel,RTX 3060,6,3.68,64,512,2022,2200,4222,3153.95,1.34,15.6,22866
Apple,Professional,Intel,AMD,RX 6600,8,1.57,8,128,2752,2000,4752,3015.26,1.58,15.9,21861
MSI,Professional,Intel,Intel,RX 6700,8,3.36,32,512,1880,2800,4680,3256.1,1.44,16.1,23607
Dell,Professional,Apple,Intel,RTX 3060,4,3.05,64,256,2176,2200,4376,3050.15,1.43,17.3,22114
Dell,Professional,Apple,Intel,RX 6600,8,2.8,16,2048,2816,2000,4816,3205.51,1.5,14.4,23240
Asus,Professional,Apple,NVIDIA,RX 6600,6,3.32,4,256,2706,2000,4706,2887.52,1.63,13.1,20935
Asus,Professional,Intel,Intel,RTX 3080,4,2.92,8,256,832,3800,4632,3280.51,1.41,14.7,23784
Dell,Professional,Intel,AMD,RTX 3070,4,2.93,8,256,1432,3000,4432,3040.79,1.46,14.7,22046
Apple,Professional,Intel,NVIDIA,RTX 3070,4,2.05,4,256,1655,3000,4655,3120.63,1.49,15.0,22625
HP,Professional,Apple,NVIDIA,RTX 3050,4,1.33,32,128,2044,1500,3544,2350.46,1.51,17.1,17041
Acer,Professional,Apple,Intel,RTX 3080,2,3.89,32,1024,760,3800,4560,3358.45,1.36,14.7,24349
Asus,Professional,Intel,AMD,RTX 3080,2,3.68,4,1024,488,3800,4288,3204.56,1.34,14.7,23233
Lenovo,Professional,Intel,AMD,RTX 3080,2,1.08,8,512,442,3800,4242,3085.39,1.37,14.7,22369
HP,Professional,Intel,AMD,RX 6600,6,1.83,64,128,2808,2000,4808,3394.97,1.42,14.9,24614
MSI,Professional,Apple,NVIDIA,RX 6600,6,3.6,32,256,2256,2000,4256,2868.21,1.48,15.7,20795
Asus,Professional,Intel,Intel,RX 6700,6,3.76,16,2048,1578,2800,4378,3298.65,1.33,13.9,23915
Lenovo,Professional,Apple,NVIDIA,RTX 3060,6,3.35,64,512,1775,2200,3975,2977.46,1.34,16.1,21587
Apple,Professional,Intel,Intel,RTX 3070,4,1.56,64,128,1248,3000,4248,3301.93,1.29,15.5,23939
Acer,Professional,AMD,Intel,RX 6700,8,1.8,8,512,2128,2800,4928,3403.65,1.45,14.6,24676
Dell,Professional,Apple,AMD,RX 6600,4,3.72,64,1024,1632,2000,3632,2845.61,1.28,16.2,20631
Lenovo,Professional,Intel,NVIDIA,RTX 3070,2,3.2,4,512,814,3000,3814,2740.97,1.39,15.4,19872
Dell,Professional,AMD,Intel,RX 6600,6,3.03,32,1024,3000,2000,5000,3337.3,1.5,15.1,24195
Dell,Professional,AMD,NVIDIA,RX 6600,8,2.96,32,512,2728,2000,4728,3101.98,1.52,14.1,22489
Apple,Professional,AMD,AMD,RX 6700,8,1.72,64,1024,2023,2800,4823,3483.36,1.38,16.0,25254
Apple,Professional,Apple,AMD,RTX 3070,4,1.82,4,128,1800,3000,4800,3315.78,1.45,15.5,24039
Lenovo,Professional,Intel,Intel,RTX 3050,8,1.24,16,256,2624,1500,4124,2661.48,1.55,15.6,19296
Asus,Professional,Intel,Intel,RX 6600,4,1.37,16,256,2108,2000,4108,2609.6,1.57,16.4,18920
MSI,Professional,Apple,NVIDIA,RX 6700,6,2.84,16,1024,1398,2800,4198,3136.1,1.34,16.8,22737
HP,Professional,Intel,NVIDIA,RTX 3050,8,1.41,32,1024,3256,1500,4756,3196.01,1.49,17.3,23171
HP,Professional,Apple,Intel,RTX 3070,4,1.37,4,512,1408,3000,4408,3134.58,1.41,16.2,22726
Acer,Professional,AMD,NVIDIA,RTX 3080,2,1.96,8,256,894,3800,4694,3252.1,1.44,17.1,23578
Asus,Professional,Intel,AMD,RTX 3070,4,3.18,32,128,1152,3000,4152,2974.03,1.4,15.4,21562
Asus,Professional,AMD,AMD,RX 6600,12,3.79,32,128,2411,2000,4411,2953.85,1.49,14.4,21415
HP,Professional,Apple,Intel,RX 6700,2,3.02,8,2048,1064,2800,3864,2826.85,1.37,15.4,20495
HP,Professional,AMD,AMD,RX 6600,6,2.26,4,256,2268,2000,4268,2730.14,1.56,15.3,19794
Asus,Professional,Apple,NVIDIA,RTX 3070,6,2.65,16,1024,1391,3000,4391,3078.42,1.43,14.0,22319
Dell,Professional,Apple,AMD,RTX 3070,4,2.9,4,1024,1836,3000,4836,3330.51,1.45,14.5,24146
HP,Professional,Intel,AMD,RTX 3070,2,1.54,8,128,1028,3000,4028,2924.25,1.38,15.1,21201
Dell,Professional,AMD,Intel,RX 6600,6,3.14,64,128,2094,2000,4094,3057.27,1.34,13.8,22165
Apple,Professional,Apple,AMD,Iris Xe,6,2.1,16,512,2633,900,3533,2322.99,1.52,15.5,16842
Apple,Professional,AMD,Intel,RX 6700,8,3.99,32,128,1768,2800,4568,3122.21,1.46,15.8,22636
Asus,Professional,AMD,AMD,RTX 3060,4,1.15,16,256,1476,2200,3676,2577.07,1.43,14.9,18684
Asus,Professional,Intel,AMD,RTX 3060,12,2.62,32,256,2496,2200,4696,3244.3,1.45,14.7,23521
HP,Professional,AMD,Intel,RTX 3060,4,2.59,64,128,1972,2200,4172,3136.37,1.33,14.5,22739
HP,Professional,Intel,AMD,RTX 3080,2,3.76,32,512,976,3800,4776,3649.9,1.31,15.7,26462
Lenovo,Professional,Intel,Intel,RTX 3060,12,3.33,4,2048,2616,2200,4816,3360.72,1.43,16.5,24365
Dell,Professional,Apple,Intel,RTX 3050,12,3.62,8,128,2964,1500,4464,2651.25,1.68,17.1,19222
Lenovo,Professional,Intel,Intel,RTX 3060,8,3.54,16,256,2752,2200,4952,3164.49,1.56,16.0,22943
Asus,Professional,Intel,NVIDIA,RX 6600,8,2.15,32,1024,2832,2000,4832,3234.65,1.49,16.1,23451
