Brand,Usage_Type,CPU_Brand,CPU_Cores,CPU_Frequency_GHz,GPU_Brand,GPU_Model,RAM_GB,Storage_GB,Screen_Size,CPU_Performance_Score,GPU_Performance_Score,Overall_Performance_Score,Price_USD,Price_Performance_Ratio
HP,Student,Intel,4,3.3,Intel,Intel Iris Xe,8,256.0,14.0,1327,549,860,727,1.18
Dell,Student,AMD,6,2.9,AMD,AMD Radeon,8,256.0,14.0,1739,810,1182,940,1.26
Dell,Student,AMD,6,2.2,AMD,AMD Radeon,8,512.0,15.6,1311,1324,1319,741,1.78
MSI,Professional,Intel,8,2.7,AMD,AMD Radeon,32,1024.0,15.6,2162,3270,2827,2225,1.27
Lenovo,Basic,AMD,2,2.1,AMD,AMD Radeon,8,256.0,16.0,417,421,420,419,1.0
Lenovo,Gaming,Intel,8,3.4,AMD,AMD Radeon,32,1024.0,15.6,2757,12127,8379,3654,2.29
HP,Student,Intel,6,3.2,Intel,Intel Iris Xe,16,512.0,16.0,1930,1213,1500,836,1.79
ASUS,Basic,Intel,2,2.4,Intel,Intel UHD,4,256.0,15.6,489,422,449,254,1.77
MSI,Professional,AMD,12,2.7,AMD,AMD Radeon,16,1024.0,17.3,3242,3595,3454,1785,1.94
Lenovo,Basic,Intel,2,1.9,Intel,Intel Iris Xe,4,256.0,17.3,385,542,479,388,1.23
Dell,Student,Intel,4,3.2,AMD,AMD Radeon,16,512.0,14.0,1296,798,997,915,1.09
HP,Basic,Intel,4,1.6,Intel,Intel UHD,8,128.0,15.6,652,594,617,271,2.28
Dell,Student,Intel,6,2.1,Intel,Intel UHD,8,256.0,17.3,1261,1453,1376,397,3.47
MSI,Student,AMD,4,2.0,AMD,AMD Radeon,16,256.0,15.6,815,1334,1127,633,1.78
ASUS,Professional,AMD,6,3.1,NVIDIA,NVIDIA GeForce,32,512.0,14.0,1864,2688,2359,1208,1.95
HP,Professional,Intel,8,3.8,NVIDIA,NVIDIA GeForce,16,512.0,15.6,3042,1394,2053,1512,1.36
Lenovo,Professional,AMD,8,3.5,NVIDIA,NVIDIA RTX,32,1024.0,13.3,2764,3918,3456,1862,1.86
HP,Professional,AMD,6,3.0,NVIDIA,NVIDIA RTX,16,512.0,15.6,1807,1050,1353,1409,0.96
HP,Student,AMD,4,2.2,Intel,Intel Iris Xe,8,256.0,14.0,865,1103,1008,863,1.17
ASUS,Professional,Intel,12,4.5,NVIDIA,NVIDIA RTX,16,1024.0,14.0,5366,3525,4261,1175,3.63
HP,Gaming,Intel,8,4.8,AMD,AMD Radeon,32,1024.0,13.3,3860,14469,10226,1546,6.61
ASUS,Student,Intel,6,2.3,Intel,Intel Iris Xe,8,512.0,16.0,1353,872,1064,671,1.59
HP,Student,Intel,6,2.3,AMD,AMD Radeon,8,512.0,17.3,1390,1435,1417,352,4.03
Apple,Basic,AMD,2,1.6,Intel,Intel Iris Xe,4,256.0,13.3,323,341,334,175,1.91
Lenovo,Professional,AMD,8,3.3,NVIDIA,NVIDIA RTX,16,1024.0,16.0,2662,3488,3158,939,3.36
Dell,Professional,Intel,6,4.3,NVIDIA,NVIDIA GeForce,16,1024.0,15.6,2572,1641,2013,1806,1.11
Apple,Basic,Intel,4,2.6,AMD,AMD Radeon,4,128.0,15.6,1024,475,695,353,1.97
HP,Basic,Intel,2,2.7,Intel,Intel Iris Xe,4,256.0,13.3,548,401,460,372,1.24
Acer,Professional,Intel,8,3.7,AMD,AMD Radeon,16,1024.0,15.6,2996,2563,2736,2197,1.25
ASUS,Gaming,Intel,16,3.1,NVIDIA,NVIDIA RTX,16,512.0,16.0,4902,8709,7186,1529,4.7
Apple,Basic,AMD,4,2.0,AMD,AMD Radeon,4,256.0,16.0,806,519,634,375,1.69
ASUS,Professional,Intel,6,3.2,AMD,AMD Radeon,32,512.0,15.6,1947,1596,1736,1102,1.58
ASUS,Basic,AMD,2,2.7,AMD,AMD Radeon,8,256.0,13.3,535,237,356,505,0.7
HP,Student,Intel,6,3.2,AMD,AMD Radeon,8,256.0,16.0,1900,1384,1590,606,2.62
Razer,Basic,AMD,4,2.2,AMD,AMD Radeon,4,128.0,15.6,884,203,475,406,1.17
Lenovo,Student,Intel,6,2.1,Intel,Intel UHD,16,256.0,15.6,1241,842,1002,761,1.32
ASUS,Basic,AMD,4,2.5,AMD,AMD Radeon,4,128.0,16.0,989,708,820,511,1.6
Lenovo,Student,AMD,6,2.5,Intel,Intel Iris Xe,16,256.0,14.0,1505,673,1006,566,1.78
Lenovo,Basic,Intel,4,2.3,AMD,AMD Radeon,4,128.0,15.6,931,690,786,382,2.06
Acer,Basic,Intel,4,1.7,Intel,Intel UHD,8,128.0,16.0,672,203,391,257,1.52
ASUS,Professional,Intel,6,3.7,AMD,AMD Radeon,16,1024.0,15.6,2196,3981,3267,914,3.57
Lenovo,Gaming,Intel,16,4.7,NVIDIA,NVIDIA RTX,16,2048.0,15.6,7572,8654,8221,3921,2.1
HP,Professional,AMD,6,2.8,AMD,AMD Radeon,16,512.0,13.3,1696,2803,2360,2565,0.92
Acer,Basic,Intel,4,1.7,AMD,AMD Radeon,4,512.0,15.6,696,392,513,170,3.02
Dell,Student,Intel,4,2.9,Intel,Intel Iris Xe,8,256.0,15.6,1174,630,847,797,1.06
Dell,Student,Intel,4,2.7,AMD,AMD Radeon,8,256.0,15.6,1070,1476,1314,534,2.46
Lenovo,Student,Intel,4,2.3,Intel,Intel UHD,8,512.0,15.6,933,645,760,415,1.83
Lenovo,Student,Intel,6,3.3,Intel,Intel UHD,8,256.0,15.6,1970,1226,1524,403,3.78
HP,Basic,Intel,4,2.0,Intel,Intel Iris Xe,4,256.0,16.0,789,515,625,375,1.67
HP,Gaming,Intel,12,5.1,NVIDIA,NVIDIA GeForce,16,512.0,14.0,6105,9382,8071,1522,5.3
Dell,Professional,AMD,6,4.1,NVIDIA,NVIDIA RTX,16,512.0,14.0,2452,1069,1622,1386,1.17
HP,Student,Intel,6,2.1,AMD,AMD Radeon,8,256.0,14.0,1239,624,870,687,1.27
Acer,Basic,Intel,4,1.7,AMD,AMD Radeon,4,128.0,17.3,680,539,595,292,2.04
Dell,Gaming,Intel,8,3.6,AMD,AMD Radeon,32,512.0,15.6,2888,7220,5488,2462,2.23
HP,Basic,Intel,4,2.1,Intel,Intel Iris Xe,8,128.0,15.6,852,518,651,525,1.24
Acer,Basic,Intel,2,2.0,AMD,AMD Radeon,4,256.0,16.0,394,434,418,221,1.89
Lenovo,Basic,Intel,4,2.3,Intel,Intel UHD,8,256.0,17.3,913,248,514,248,2.07
Dell,Basic,Intel,2,2.6,AMD,AMD Radeon,4,128.0,15.6,524,306,393,432,0.91
ASUS,Student,AMD,6,2.9,AMD,AMD Radeon,8,256.0,15.6,1745,572,1041,514,2.03
HP,Gaming,Intel,8,4.9,NVIDIA,NVIDIA GeForce,16,512.0,14.0,3945,14443,10244,1073,9.55
MSI,Student,Intel,4,2.6,AMD,AMD Radeon,8,256.0,15.6,1027,1485,1302,448,2.91
HP,Gaming,Intel,8,4.0,NVIDIA,NVIDIA GeForce,32,1024.0,14.0,3238,9929,7252,2259,3.21
HP,Student,Intel,4,3.5,Intel,Intel UHD,8,512.0,16.0,1400,1449,1429,626,2.28
Dell,Gaming,Intel,12,3.6,NVIDIA,NVIDIA RTX,32,1024.0,14.0,4324,14862,10647,4023,2.65
Acer,Professional,Intel,6,3.1,NVIDIA,NVIDIA GeForce,16,512.0,15.6,1875,3370,2772,1879,1.48
Dell,Professional,AMD,12,4.0,NVIDIA,NVIDIA RTX,16,1024.0,17.3,4839,2640,3520,1329,2.65
Dell,Student,Intel,4,2.3,Intel,Intel UHD,8,512.0,15.6,927,655,764,536,1.43
Dell,Gaming,Intel,8,4.6,AMD,AMD Radeon,32,512.0,15.6,3712,5304,4667,2266,2.06
ASUS,Basic,Intel,4,1.7,AMD,AMD Radeon,4,128.0,17.3,692,512,584,514,1.14
MSI,Student,Intel,4,2.9,AMD,AMD Radeon,16,512.0,14.0,1143,1376,1283,429,2.99
Razer,Student,Intel,4,2.9,AMD,AMD Radeon,8,256.0,16.0,1163,778,932,819,1.14
Dell,Student,Intel,4,3.3,Intel,Intel Iris Xe,8,512.0,14.0,1308,906,1067,903,1.18
Acer,Professional,Intel,6,3.5,NVIDIA,NVIDIA GeForce,32,1024.0,15.6,2129,3078,2698,1496,1.8
HP,Student,AMD,6,2.2,Intel,Intel Iris Xe,16,256.0,13.3,1345,1074,1182,475,2.49
Acer,Basic,AMD,2,2.6,AMD,AMD Radeon,4,512.0,14.0,516,293,382,220,1.74
HP,Gaming,Intel,8,4.0,NVIDIA,NVIDIA GeForce,32,1024.0,13.3,3200,10443,7546,3893,1.94
Lenovo,Basic,AMD,4,2.3,AMD,AMD Radeon,4,256.0,15.6,903,551,692,389,1.78
ASUS,Basic,AMD,2,2.2,Intel,Intel UHD,8,256.0,16.0,449,452,451,473,0.95
Razer,Gaming,AMD,8,4.0,NVIDIA,NVIDIA GeForce,32,512.0,15.6,3235,13278,9261,2983,3.1
Lenovo,Basic,Intel,4,1.9,Intel,Intel UHD,4,128.0,14.0,766,433,566,300,1.89
Acer,Gaming,Intel,12,4.6,NVIDIA,NVIDIA GeForce,16,512.0,14.0,5503,14160,10697,1627,6.57
Dell,Gaming,AMD,12,3.5,NVIDIA,NVIDIA RTX,32,512.0,13.3,4211,7483,6174,1554,3.97
Dell,Basic,Intel,4,2.6,Intel,Intel Iris Xe,4,128.0,17.3,1054,469,703,303,2.32
Dell,Gaming,AMD,16,3.9,AMD,AMD Radeon,32,512.0,17.3,6196,6731,6517,3225,2.02
Acer,Professional,Intel,12,3.2,AMD,AMD Radeon,32,512.0,15.6,3861,3068,3385,1820,1.86
Lenovo,Basic,AMD,4,2.4,Intel,Intel UHD,4,256.0,15.6,949,756,833,202,4.12
ASUS,Professional,Intel,6,2.9,NVIDIA,NVIDIA GeForce,16,512.0,16.0,1717,2108,1951,2215,0.88
Dell,Basic,Intel,4,1.8,Intel,Intel Iris Xe,4,256.0,17.3,701,606,644,389,1.66
HP,Professional,AMD,12,3.3,NVIDIA,NVIDIA RTX,16,1024.0,15.6,3919,1724,2602,1094,2.38
Lenovo,Basic,Intel,2,2.0,AMD,AMD Radeon,4,128.0,16.0,402,241,306,433,0.71
Lenovo,Student,Intel,6,2.1,Intel,Intel UHD,8,256.0,14.0,1278,1446,1379,580,2.38
ASUS,Student,Intel,4,2.6,AMD,AMD Radeon,8,512.0,13.3,1048,1280,1187,897,1.32
Dell,Gaming,Intel,16,4.9,AMD,AMD Radeon,32,1024.0,16.0,7878,13749,11401,3115,3.66
ASUS,Basic,AMD,4,2.0,Intel,Intel Iris Xe,4,256.0,15.6,792,453,589,489,1.2
Lenovo,Basic,Intel,2,1.7,Intel,Intel UHD,4,128.0,15.6,349,624,514,439,1.17
HP,Gaming,Intel,16,4.1,AMD,AMD Radeon,16,2048.0,14.0,6581,7519,7144,1040,6.87
MSI,Student,AMD,4,2.5,Intel,Intel Iris Xe,8,256.0,15.6,996,952,970,889,1.09
HP,Student,AMD,4,2.7,AMD,AMD Radeon,8,256.0,16.0,1067,852,938,687,1.37
Acer,Student,Intel,6,2.2,Intel,Intel UHD,8,256.0,13.3,1345,960,1114,515,2.16
MSI,Gaming,AMD,16,5.3,NVIDIA,NVIDIA GeForce,32,1024.0,17.3,8401,14097,11818,1742,6.78
Razer,Student,Intel,6,3.5,AMD,AMD Radeon,8,512.0,15.6,2098,703,1261,747,1.69
Acer,Professional,Intel,8,3.9,AMD,AMD Radeon,16,512.0,13.3,3154,1036,1883,1403,1.34
ASUS,Gaming,AMD,12,3.1,AMD,AMD Radeon,16,2048.0,15.6,3752,11501,8401,1231,6.82
Dell,Student,Intel,6,2.0,AMD,AMD Radeon,8,256.0,13.3,1208,981,1072,595,1.8
Dell,Student,Intel,4,3.3,AMD,AMD Radeon,16,512.0,15.6,1331,1174,1237,499,2.48
Acer,Student,AMD,6,2.4,Intel,Intel UHD,8,256.0,15.6,1464,791,1060,967,1.1
Acer,Student,AMD,4,2.8,Intel,Intel Iris Xe,8,512.0,15.6,1116,1377,1273,772,1.65
Dell,Student,Intel,6,2.5,AMD,AMD Radeon,16,512.0,14.0,1491,979,1184,687,1.72
HP,Gaming,Intel,12,4.9,NVIDIA,NVIDIA RTX,32,1024.0,16.0,5874,7357,6764,1703,3.97
ASUS,Student,Intel,6,3.1,AMD,AMD Radeon,8,512.0,14.0,1875,944,1316,498,2.64
Lenovo,Professional,Intel,8,3.7,AMD,AMD Radeon,16,512.0,14.0,2928,1783,2241,1305,1.72
Apple,Student,Intel,6,3.0,AMD,AMD Radeon,8,512.0,17.3,1807,703,1144,735,1.56
Lenovo,Gaming,Intel,8,4.4,AMD,AMD Radeon,16,512.0,13.3,3513,8995,6802,3324,2.05
ASUS,Basic,Intel,2,1.6,Intel,Intel UHD,8,256.0,15.6,325,317,320,481,0.67
HP,Professional,Intel,12,2.5,NVIDIA,NVIDIA RTX,16,1024.0,14.0,3025,2165,2509,1990,1.26
Dell,Basic,AMD,2,2.6,Intel,Intel UHD,4,256.0,15.6,527,418,462,428,1.08
Dell,Student,Intel,6,2.3,AMD,AMD Radeon,16,256.0,15.6,1374,779,1017,779,1.31
Dell,Professional,Intel,8,4.5,AMD,AMD Radeon,16,512.0,16.0,3587,1397,2273,1857,1.22
HP,Professional,Intel,8,2.6,NVIDIA,NVIDIA RTX,32,512.0,13.3,2090,2074,2080,1516,1.37
HP,Gaming,Intel,12,4.4,AMD,AMD Radeon,16,512.0,16.0,5242,13294,10073,1143,8.81
HP,Student,Intel,6,2.1,Intel,Intel UHD,16,512.0,17.3,1271,1169,1210,672,1.8
Dell,Basic,Intel,2,1.8,Intel,Intel Iris Xe,8,256.0,14.0,354,612,508,170,2.99
Dell,Professional,Intel,8,3.5,AMD,AMD Radeon,16,512.0,14.0,2826,1160,1826,2268,0.81
ASUS,Basic,AMD,2,2.1,Intel,Intel UHD,4,256.0,15.6,411,302,346,365,0.95
Apple,Gaming,Intel,12,3.3,AMD,AMD Radeon,16,1024.0,16.0,3952,11227,8317,2457,3.39
HP,Basic,AMD,2,2.6,AMD,AMD Radeon,4,128.0,15.6,519,675,613,290,2.11
HP,Student,Intel,6,3.3,AMD,AMD Radeon,8,256.0,15.6,1997,1336,1600,640,2.5
Lenovo,Basic,Intel,2,2.7,Intel,Intel Iris Xe,4,256.0,13.3,547,727,655,251,2.61
Acer,Basic,AMD,2,2.2,Intel,Intel UHD,4,256.0,16.0,450,200,300,223,1.35
Dell,Student,AMD,6,2.0,AMD,AMD Radeon,8,256.0,13.3,1225,1028,1107,583,1.9
Dell,Basic,Intel,4,1.7,Intel,Intel Iris Xe,8,128.0,15.6,682,702,694,228,3.04
Razer,Student,Intel,4,2.6,AMD,AMD Radeon,16,256.0,15.6,1025,1313,1198,276,4.34
Dell,Student,Intel,4,3.1,AMD,AMD Radeon,8,256.0,15.6,1232,1296,1271,810,1.57
Acer,Professional,Intel,6,2.5,AMD,AMD Radeon,32,512.0,17.3,1500,1732,1639,1307,1.25
Lenovo,Basic,Intel,2,2.5,AMD,AMD Radeon,4,128.0,16.0,492,580,545,551,0.99
Dell,Student,Intel,6,2.3,AMD,AMD Radeon,8,256.0,15.6,1375,1058,1185,840,1.41
HP,Basic,Intel,4,2.6,Intel,Intel UHD,8,128.0,15.6,1049,571,762,453,1.68
Apple,Student,Intel,6,2.4,AMD,AMD Radeon,8,512.0,17.3,1459,1145,1271,548,2.32
MSI,Basic,Intel,4,1.7,AMD,AMD Radeon,4,128.0,14.0,681,473,556,491,1.13
HP,Professional,Intel,6,3.1,NVIDIA,NVIDIA RTX,16,512.0,13.3,1843,3186,2649,1196,2.21
ASUS,Basic,Intel,2,2.6,Intel,Intel Iris Xe,4,128.0,14.0,513,672,608,278,2.19
Dell,Basic,AMD,2,2.2,Intel,Intel UHD,8,512.0,14.0,443,764,636,448,1.42
Lenovo,Gaming,AMD,12,3.5,AMD,AMD Radeon,16,1024.0,15.6,4260,6149,5393,1789,3.01
Dell,Gaming,Intel,12,4.1,NVIDIA,NVIDIA GeForce,32,1024.0,15.6,4936,12791,9649,2497,3.86
Lenovo,Student,AMD,4,2.7,AMD,AMD Radeon,8,256.0,15.6,1098,1408,1284,593,2.17
Dell,Gaming,Intel,12,3.3,NVIDIA,NVIDIA RTX,32,1024.0,14.0,3926,11496,8468,1051,8.06
ASUS,Gaming,Intel,8,4.7,NVIDIA,NVIDIA RTX,16,2048.0,17.3,3785,13267,9474,3558,2.66
Lenovo,Student,Intel,6,2.1,AMD,AMD Radeon,16,512.0,16.0,1281,1288,1285,736,1.75
Dell,Basic,AMD,4,1.6,AMD,AMD Radeon,4,128.0,17.3,652,763,718,230,3.12
ASUS,Gaming,Intel,12,3.5,NVIDIA,NVIDIA GeForce,32,512.0,16.0,4228,13983,10081,1931,5.22
Dell,Student,AMD,6,2.0,AMD,AMD Radeon,8,512.0,14.0,1210,1371,1307,531,2.46
Razer,Gaming,Intel,8,4.0,AMD,AMD Radeon,16,512.0,15.6,3223,8250,6239,3124,2.0
HP,Gaming,Intel,12,4.2,NVIDIA,NVIDIA GeForce,16,512.0,16.0,5027,6829,6108,1254,4.87
Lenovo,Professional,Intel,6,2.9,AMD,AMD Radeon,32,512.0,14.0,1768,1154,1399,1855,0.75
Lenovo,Basic,AMD,4,2.7,AMD,AMD Radeon,4,256.0,15.6,1098,393,675,436,1.55
Lenovo,Professional,Intel,8,4.5,NVIDIA,NVIDIA GeForce,32,1024.0,15.6,3575,1037,2052,2079,0.99
Lenovo,Professional,Intel,12,3.1,AMD,AMD Radeon,32,1024.0,14.0,3695,2061,2715,1827,1.49
Razer,Gaming,Intel,16,3.8,AMD,AMD Radeon,16,512.0,15.6,6055,13369,10444,1025,10.19
Apple,Student,Intel,4,2.5,AMD,AMD Radeon,8,512.0,15.6,1009,984,994,606,1.64
Lenovo,Gaming,Intel,16,4.0,AMD,AMD Radeon,16,512.0,14.0,6469,13512,10695,3639,2.94
Dell,Professional,AMD,12,4.0,NVIDIA,NVIDIA RTX,16,1024.0,14.0,4825,2660,3526,818,4.31
Apple,Basic,Intel,2,2.7,AMD,AMD Radeon,8,512.0,15.6,550,450,490,211,2.32
Lenovo,Student,Intel,6,2.8,AMD,AMD Radeon,16,512.0,17.3,1705,1171,1384,717,1.93
Dell,Student,Intel,4,2.2,AMD,AMD Radeon,8,256.0,15.6,894,514,666,663,1.0
Dell,Student,Intel,4,2.2,Intel,Intel UHD,8,256.0,13.3,879,807,836,982,0.85
Razer,Gaming,Intel,12,4.8,NVIDIA,NVIDIA GeForce,32,512.0,15.6,5712,8949,7654,1832,4.18
Lenovo,Student,AMD,6,2.5,AMD,AMD Radeon,8,512.0,15.6,1530,1334,1413,815,1.73
ASUS,Student,AMD,4,2.3,AMD,AMD Radeon,8,256.0,13.3,900,1404,1202,483,2.49
Dell,Student,Intel,6,3.0,Intel,Intel UHD,8,512.0,13.3,1791,886,1248,555,2.25
HP,Basic,Intel,2,2.1,Intel,Intel Iris Xe,8,128.0,13.3,413,686,577,311,1.86
Lenovo,Basic,Intel,2,2.7,AMD,AMD Radeon,4,128.0,15.6,536,461,491,376,1.31
MSI,Student,Intel,4,3.0,Intel,Intel UHD,16,256.0,17.3,1218,1330,1286,508,2.53
MSI,Gaming,Intel,8,3.9,NVIDIA,NVIDIA GeForce,16,512.0,17.3,3082,6523,5146,1148,4.48
HP,Professional,Intel,8,3.0,NVIDIA,NVIDIA GeForce,16,512.0,15.6,2377,2448,2420,1068,2.27
HP,Basic,Intel,4,1.8,Intel,Intel UHD,8,256.0,15.6,712,373,508,329,1.54
ASUS,Student,AMD,6,3.4,AMD,AMD Radeon,8,256.0,14.0,2038,940,1379,717,1.92
HP,Gaming,Intel,12,3.4,NVIDIA,NVIDIA GeForce,32,512.0,13.3,4062,12177,8931,1454,6.14
HP,Gaming,Intel,8,3.1,NVIDIA,NVIDIA RTX,16,512.0,14.0,2495,10792,7473,2572,2.91
Lenovo,Student,Intel,6,2.8,AMD,AMD Radeon,8,256.0,13.3,1701,727,1116,623,1.79
Razer,Professional,AMD,6,3.9,NVIDIA,NVIDIA RTX,16,512.0,15.6,2322,1999,2128,1640,1.3
Acer,Professional,Intel,8,2.8,NVIDIA,NVIDIA RTX,16,1024.0,13.3,2238,1006,1499,1302,1.15
ASUS,Basic,Intel,2,1.8,Intel,Intel UHD,4,256.0,15.6,358,361,360,405,0.89
ASUS,Gaming,Intel,8,4.0,AMD,AMD Radeon,32,512.0,15.6,3207,14988,10276,1851,5.55
HP,Student,Intel,4,2.5,AMD,AMD Radeon,16,512.0,13.3,1018,1273,1171,622,1.88
ASUS,Basic,Intel,2,2.0,AMD,AMD Radeon,8,128.0,16.0,391,201,277,366,0.76
Dell,Professional,AMD,8,3.1,NVIDIA,NVIDIA RTX,16,1024.0,15.6,2496,3416,3048,1570,1.94
Lenovo,Basic,Intel,2,1.6,AMD,AMD Radeon,8,512.0,15.6,329,217,262,453,0.58
Apple,Student,Intel,4,2.7,Intel,Intel UHD,8,512.0,17.3,1083,1086,1085,404,2.69
HP,Basic,Intel,2,1.7,AMD,AMD Radeon,8,256.0,15.6,349,419,391,301,1.3
Dell,Professional,Intel,8,3.0,AMD,AMD Radeon,32,1024.0,13.3,2400,2254,2313,2345,0.99
ASUS,Basic,AMD,2,1.6,AMD,AMD Radeon,4,512.0,17.3,327,258,286,493,0.58
Lenovo,Student,Intel,4,2.3,AMD,AMD Radeon,16,256.0,15.6,925,1388,1203,729,1.65
Acer,Student,Intel,4,3.2,AMD,AMD Radeon,8,256.0,13.3,1260,1065,1143,758,1.51
Lenovo,Professional,AMD,8,4.4,AMD,AMD Radeon,16,512.0,15.6,3506,2819,3094,2009,1.54
Dell,Gaming,Intel,8,4.2,NVIDIA,NVIDIA GeForce,32,2048.0,13.3,3332,9588,7085,2841,2.49
ASUS,Professional,Intel,12,3.8,NVIDIA,NVIDIA GeForce,32,1024.0,13.3,4532,3222,3746,2109,1.78
HP,Professional,Intel,8,2.9,NVIDIA,NVIDIA RTX,16,1024.0,15.6,2314,2512,2433,1974,1.23
MSI,Professional,Intel,8,4.3,AMD,AMD Radeon,16,1024.0,17.3,3416,3271,3329,1375,2.42
Dell,Student,AMD,4,2.1,AMD,AMD Radeon,8,512.0,14.0,847,1141,1023,565,1.81
HP,Basic,Intel,4,2.0,AMD,AMD Radeon,4,128.0,15.6,786,778,781,422,1.85
Lenovo,Professional,Intel,8,3.9,NVIDIA,NVIDIA RTX,32,512.0,15.6,3150,3801,3541,1708,2.07
ASUS,Basic,Intel,2,1.8,Intel,Intel UHD,4,128.0,15.6,361,550,474,461,1.03
HP,Basic,AMD,2,2.6,AMD,AMD Radeon,4,256.0,13.3,515,226,342,386,0.89
ASUS,Professional,Intel,6,3.7,NVIDIA,NVIDIA GeForce,16,1024.0,15.6,2209,3539,3007,1595,1.89
ASUS,Gaming,Intel,12,4.1,NVIDIA,NVIDIA GeForce,32,512.0,14.0,4979,7146,6279,3337,1.88
Dell,Professional,Intel,12,4.0,NVIDIA,NVIDIA GeForce,16,512.0,13.3,4768,3078,3754,1786,2.1
Razer,Basic,Intel,2,2.2,Intel,Intel Iris Xe,8,256.0,14.0,434,746,621,150,4.14
Dell,Student,AMD,4,2.3,Intel,Intel Iris Xe,16,256.0,15.6,913,913,913,878,1.04
ASUS,Basic,Intel,2,1.9,Intel,Intel UHD,4,512.0,13.3,381,545,480,407,1.18
Lenovo,Basic,AMD,4,2.0,AMD,AMD Radeon,4,128.0,15.6,814,499,625,340,1.84
Lenovo,Student,Intel,6,3.3,AMD,AMD Radeon,16,256.0,14.0,1962,1262,1542,490,3.15
Lenovo,Professional,Intel,8,2.8,NVIDIA,NVIDIA GeForce,16,512.0,14.0,2234,1671,1896,2457,0.77
Lenovo,Professional,AMD,8,4.3,AMD,AMD Radeon,32,512.0,16.0,3432,3798,3652,1286,2.84
HP,Professional,Intel,6,2.8,NVIDIA,NVIDIA RTX,16,512.0,16.0,1673,2617,2239,1598,1.4
Apple,Professional,AMD,12,3.5,NVIDIA,NVIDIA RTX,16,512.0,17.3,4202,3599,3840,861,4.46
HP,Basic,Intel,2,1.9,Intel,Intel UHD,4,256.0,14.0,384,655,547,536,1.02
Lenovo,Student,Intel,6,3.0,Intel,Intel UHD,8,256.0,15.6,1774,551,1040,659,1.58
ASUS,Basic,Intel,2,2.6,Intel,Intel Iris Xe,4,256.0,15.6,528,658,606,372,1.63
HP,Professional,Intel,8,2.5,NVIDIA,NVIDIA GeForce,16,512.0,16.0,2001,1760,1857,1075,1.73
