Brand,Usage_Type,CPU_Brand,CPU_Cores,CPU_Frequency_GHz,GPU_Brand,GPU_Model,RAM_GB,Storage_GB,Screen_Size,CPU_Performance_Score,GPU_Performance_Score,Overall_Performance_Score,Price_USD,Price_Performance_Ratio,Perf_Per_Core,RAM_Storage_Ratio,GPU_Weight,CPU_Cores_scaled,CPU_Frequency_GHz_scaled,RAM_GB_scaled,Storage_GB_scaled,CPU_Performance_Score_scaled,GPU_Performance_Score_scaled,Overall_Performance_Score_scaled,Price_USD_scaled,Price_Performance_Ratio_scaled,Perf_Per_Core_scaled,RAM_Storage_Ratio_scaled,GPU_Weight_scaled
ASUS,Student,Intel,6,2.3,Intel,Intel Iris Xe,8,512.0,16.0,1353,872,1064,671,1.59,177.3,1.56,0.392,-0.12600107633916122,-0.8766256077819048,-0.6911193813549762,-0.08871868605736126,-0.5015920256569867,-0.5662858601458475,-0.5768298039623974,-0.5456912585638236,-0.4593342090044141,-0.760016990455056,-0.9492766384969085,-0.6829079310558528
HP,Student,Intel,6,2.3,AMD,AMD Radeon,8,512.0,17.3,1390,1435,1417,352,4.03,236.2,1.56,0.508,-0.12600107633916122,-0.8766256077819048,-0.6911193813549762,-0.08871868605736126,-0.4801492372029129,-0.41748189118880913,-0.4520717436077105,-0.8870695914370871,1.4666864040100338,-0.5051738312863048,-0.9492766384969085,0.1360143413440389
Apple,Basic,AMD,2,1.6,Intel,Intel Iris Xe,4,256.0,13.3,323,341,334,175,1.91,167.0,1.56,0.514,-1.2528972314127096,-1.6516533786694287,-1.1075504313542086,-0.7032204076667893,-1.098512893432555,-0.7066320546683829,-0.8348280590868207,-1.0764864093636315,-0.2067413417238309,-0.8045820929922061,-0.9492766384969085,0.17837238991644713
Lenovo,Professional,AMD,8,3.3,NVIDIA,NVIDIA RTX,16,1024.0,16.0,2662,3488,3158,939,3.36,394.8,1.56,0.567,0.43744700119761293,0.23055692205741557,0.14174271864348867,1.1402847571614947,0.2570190577587596,0.12513719987477842,0.16323642375067432,-0.25889065288973384,0.9378200881413122,0.1810422136061225,-0.9492766384969085,0.5525351523060524
Dell,Professional,Intel,6,4.3,NVIDIA,NVIDIA GeForce,16,1024.0,15.6,2572,1641,2013,1806,1.11,335.5,1.56,0.39,-0.12600107633916122,1.337739451896736,0.14174271864348867,1.1402847571614947,0.20486092368128278,-0.3630349682666956,-0.24143207230064712,0.6689307094962207,-0.838223509925289,-0.07553162915630461,-0.9492766384969085,-0.6970272805799889
Apple,Basic,Intel,4,2.6,AMD,AMD Radeon,4,128.0,15.6,1024,475,695,353,1.97,173.8,3.12,0.317,-0.6894491538759353,-0.5444708488301084,-1.1075504313542086,-1.0104712684715034,-0.6922589824513187,-0.6712151242239012,-0.707242620593784,-0.8859994399233778,-0.1593801791087215,-0.7751604718997186,0.003681258028163031,-1.2123835382109553
HP,Basic,Intel,2,2.7,Intel,Intel Iris Xe,4,256.0,13.3,548,401,460,372,1.24,230.0,1.56,0.423,-1.2528972314127096,-0.43375259584617626,-1.1075504313542086,-0.7032204076667893,-0.9681175582388628,-0.6907737276036896,-0.7902968534078105,-0.8656665611629013,-0.7356076575925522,-0.5319994269882785,-0.9492766384969085,-0.46405801343174397
Acer,Professional,Intel,8,3.7,AMD,AMD Radeon,16,1024.0,15.6,2996,2563,2736,2197,1.25,342.0,1.56,0.461,0.43744700119761293,0.6734299339931441,0.14174271864348867,1.1402847571614947,0.45058368866850695,-0.11934534237257592,0.014092226952720036,1.087359951356553,-0.727714130490034,-0.047408020759073986,-0.9492766384969085,-0.19579037247315853
ASUS,Gaming,Intel,16,3.1,NVIDIA,NVIDIA RTX,16,512.0,16.0,4902,8709,7186,1529,4.7,449.1,3.12,0.64,2.6912393113447095,0.00912041608955178,0.14174271864348867,-0.08871868605736126,1.5551770614648495,1.5050759599541697,1.5868213164098208,0.37249874019874735,1.995552719878755,0.41598251144760295,0.003681258028163031,1.0678914099370191
Apple,Basic,AMD,4,2.0,AMD,AMD Radeon,4,256.0,16.0,806,519,634,375,1.69,158.5,1.56,0.392,-0.6894491538759353,-1.2087803667337007,-1.1075504313542086,-0.7032204076667893,-0.8185975738834292,-0.6595856843764595,-0.7288013788987014,-0.8624561066217734,-0.3803989379792319,-0.8413591193578154,-0.9492766384969085,-0.6829079310558528
ASUS,Professional,Intel,6,3.2,AMD,AMD Radeon,32,512.0,15.6,1947,1596,1736,1102,1.58,289.3,6.25,0.45,-0.12600107633916122,0.11983866907348392,1.8074669186404184,-0.08871868605736126,-0.15734834074563966,-0.37492871356521557,-0.33933004034101044,-0.08445595615511953,-0.4672277361069323,-0.27542558422585145,1.9157057555432102,-0.27344679485590695
ASUS,Basic,AMD,2,2.7,AMD,AMD Radeon,8,256.0,13.3,535,237,356,505,0.7,178.0,3.12,0.307,-1.2528972314127096,-0.43375259584617626,-0.6911193813549762,-0.7032204076667893,-0.9756515109389428,-0.7341198215805178,-0.8270527692063585,-0.7233364098395657,-1.1618581211285366,-0.7569882941661236,0.003681258028163031,-1.2829802858316357
HP,Student,Intel,6,3.2,AMD,AMD Radeon,8,256.0,16.0,1900,1384,1590,606,2.62,265.0,3.12,0.421,-0.12600107633916122,0.11983866907348392,-0.6911193813549762,-0.7032204076667893,-0.1845864774305442,-0.4309614691937984,-0.3909296913658951,-0.6152511069549275,0.35369908255496346,-0.38056461254165214,0.003681258028163031,-0.4781773629558801
Razer,Basic,AMD,4,2.2,AMD,AMD Radeon,4,128.0,15.6,884,203,475,406,1.17,118.8,3.12,0.187,-0.6894491538759353,-0.9873438607658365,-1.1075504313542086,-1.0104712684715034,-0.7733938576829493,-0.7431062069171773,-0.7849955193984046,-0.8292814096967854,-0.7908623473101798,-1.0131294660301315,0.003681258028163031,-2.1301412572797993
Lenovo,Student,Intel,6,2.1,Intel,Intel UHD,16,256.0,15.6,1241,842,1002,761,1.32,167.0,6.25,0.404,-0.12600107633916122,-1.0980621137497686,0.14174271864348867,-0.7032204076667893,-0.5664999258422913,-0.5742150236781941,-0.5987419845346087,-0.44937762232998746,-0.6724594407724063,-0.8045820929922061,1.9157057555432102,-0.5981918339110364
ASUS,Basic,AMD,4,2.5,AMD,AMD Radeon,4,128.0,16.0,989,708,820,511,1.6,205.0,3.12,0.417,-0.6894491538759353,-0.6551891018140406,-1.1075504313542086,-1.0104712684715034,-0.7125427012592264,-0.6096319541226758,-0.6630648371820675,-0.71691550075731,-0.45144068190189585,-0.6401671515930117,0.003681258028163031,-0.5064160620041522
Lenovo,Student,AMD,6,2.5,Intel,Intel Iris Xe,16,256.0,14.0,1505,673,1006,566,1.78,167.7,6.25,0.309,-0.12600107633916122,-0.6551891018140406,0.14174271864348867,-0.7032204076667893,-0.4135027325483592,-0.6188826449104134,-0.5973282954654338,-0.658057167503299,-0.3093571940565678,-0.8015533967032736,1.9157057555432102,-1.2688609363074996
Lenovo,Basic,Intel,4,2.3,AMD,AMD Radeon,4,128.0,15.6,931,690,786,382,2.06,196.5,3.12,0.426,-0.6894491538759353,-0.8766256077819048,-1.1075504313542086,-1.0104712684715034,-0.7461557209980447,-0.6143894522420837,-0.6750811942700544,-0.8549650460258085,-0.08833843518605737,-0.6769441779586209,0.003681258028163031,-0.44287898914553986
Acer,Basic,Intel,4,1.7,Intel,Intel UHD,8,128.0,16.0,672,203,391,257,1.52,97.8,6.25,0.232,-0.6894491538759353,-1.5409351256854968,-0.6911193813549762,-1.0104712684715034,-0.8962552401765614,-0.7431062069171773,-0.814682989851078,-0.9887339852394696,-0.5145888987220417,-1.1039903546981074,1.9157057555432102,-1.8124558929867383
ASUS,Professional,Intel,6,3.7,AMD,AMD Radeon,16,1024.0,15.6,2196,3981,3267,914,3.57,544.5,1.56,0.644,-0.12600107633916122,0.6734299339931441,0.14174271864348867,1.1402847571614947,-0.013044169797953762,0.25543978725634137,0.20175945088569094,-0.2856444407324661,1.103584157294195,0.8287505485392646,-0.9492766384969085,1.0961301089852913
Lenovo,Gaming,Intel,16,4.7,NVIDIA,NVIDIA RTX,16,2048.0,15.6,7572,8654,8221,3921,2.1,513.8,0.78,0.533,2.6912393113447095,1.7806124638324645,0.14174271864348867,3.598291643599207,3.102535039096662,1.4905391601448676,1.9526133630588318,2.9323011609913694,-0.05676432677598442,0.6959205827246521,-1.4257555867594445,0.31250621039573984
HP,Professional,AMD,6,2.8,AMD,AMD Radeon,16,512.0,13.3,1696,2803,2360,2565,0.92,393.3,3.12,0.623,-0.12600107633916122,-0.32303434286224464,0.14174271864348867,-0.08871868605736126,-0.3028115813394917,-0.055912034113802904,-0.11879454554972263,1.481175708401572,-0.9882005248731355,0.1745521501298385,0.003681258028163031,0.9478769389818625
Acer,Basic,Intel,4,1.7,AMD,AMD Radeon,4,512.0,15.6,696,392,513,170,3.02,128.2,0.78,0.36,-0.6894491538759353,-1.5409351256854968,-1.1075504313542086,-0.08871868605736126,-0.8823464044225676,-0.6931524766633935,-0.7715654732412429,-1.081837166932178,0.6694401666556925,-0.972458401578752,-1.4257555867594445,-0.90881752344203
Dell,Student,Intel,4,2.9,Intel,Intel Iris Xe,8,256.0,15.6,1174,630,847,797,1.06,211.8,3.12,0.349,-0.6894491538759353,-0.2123160898783125,-0.6911193813549762,-0.7032204076667893,-0.6053287589888573,-0.630247779306777,-0.6535224359651369,-0.410852167836453,-0.8776911454378802,-0.6107455305005243,0.003681258028163031,-0.9864739458247784
Dell,Student,Intel,4,2.7,AMD,AMD Radeon,8,256.0,15.6,1070,1476,1314,534,2.46,328.5,3.12,0.58,-0.6894491538759353,-0.43375259584617626,-0.6911193813549762,-0.7032204076667893,-0.6656003805894972,-0.4066453676946021,-0.4884742371389647,-0.6923020159419964,0.2274026489146717,-0.10581859204562989,0.003681258028163031,0.6443109242129369
Lenovo,Student,Intel,4,2.3,Intel,Intel UHD,8,512.0,15.6,933,645,760,415,1.83,190.0,1.56,0.409,-0.6894491538759353,-0.8766256077819048,-0.6911193813549762,-0.08871868605736126,-0.7449966513518786,-0.6262831975406037,-0.6842701732196914,-0.8196500460734019,-0.2698895585439766,-0.7050677863558515,-0.9492766384969085,-0.5628934601006965
